Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Free Sugar (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Vegetable samosa,,,443.11,2.21,42.22,,1.52,13.22,Indian Dishes,0.74,107.7,10.37,0.6,10.06,12.39
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),,,745.5,4.39,76.32,,2.27,9.7,Indian Dishes,0.16,65.87,10.6,0.96,0.0,13.31
Masala urad dal vada,,,703.78,4.32,71.62,,2.71,9.93,Indian Dishes,0.7,61.49,11.87,1.0,2.05,15.89
Khaman (dhokla),,,54.73,1.92,2.8,,1.49,5.36,Indian Dishes,1.36,124.1,5.31,0.58,2.6,19.33
Instant dhokla,,,207.11,7.66,9.37,,3.57,24.11,Indian Dishes,6.86,763.98,66.58,1.05,2.7,22.87
Tomato ginger chutney (Tamatar adarak ki chutney),,,44.66,1.05,0.32,,2.14,9.11,Indian Dishes,6.31,209.42,23.63,1.08,3.65,2.29
Mint tomato chutney (Pudinay aur tamatar ki chutney),,,43.65,1.53,0.36,,2.63,8.22,Indian Dishes,5.48,183.98,47.59,2.06,4.07,4.94
Coriander chutney (Hare dhaniye ki chutney),,,42.86,1.38,0.37,,2.47,8.16,Indian Dishes,5.5,186.64,39.8,1.63,4.24,3.57
Gooseberry chutney (Amla chutney),,,43.02,1.44,0.62,,4.58,8.83,Indian Dishes,0.06,215.09,46.4,1.22,4.84,2.23
Walnut chutney (Akhrot ki chutney),,,370.43,9.44,33.46,,3.04,8.91,Indian Dishes,4.4,160.0,119.57,1.77,1.33,4.63
Saunth/Sonth chutney with ginger,,,84.22,0.28,0.11,,0.31,20.62,Indian Dishes,19.04,222.53,15.17,0.7,0.0,0.51
Gun powder chutney,,,312.34,21.55,2.67,,13.95,47.65,Indian Dishes,1.16,195.67,68.87,5.14,0.02,14.27
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,,,346.36,12.88,15.88,,13.16,36.72,Indian Dishes,10.41,321.07,73.55,5.44,0.15,10.69
Curd mint dip ,,,76.13,4.82,2.44,,0.77,9.11,Indian Dishes,7.83,222.77,172.79,0.82,3.28,7.82
Curd vegetable dip,,,56.21,3.88,1.94,,0.63,6.04,Indian Dishes,5.42,132.48,129.58,0.37,4.53,5.78
Mayonnaise vegetable dip,,,241.27,3.01,23.44,,0.41,4.8,Indian Dishes,4.39,119.58,91.42,0.28,4.58,7.03
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),,,150.68,4.03,6.31,,2.1,20.51,Indian Dishes,1.79,222.22,76.75,1.15,7.12,17.26
Tomato sandwich (grilled),,,189.92,6.26,9.39,,1.91,21.29,Indian Dishes,2.58,420.6,150.9,0.88,8.91,16.85
French sandwich (toasted),,,186.75,6.82,11.51,,1.37,14.82,Indian Dishes,1.82,274.68,100.73,1.24,6.66,29.24
Peanut butter cucumber sandwich,,,243.33,9.04,10.56,,3.35,29.76,Indian Dishes,2.91,460.09,95.35,1.32,0.92,16.53
Mint and peanut sandwich,,,273.59,7.18,13.88,,3.67,31.83,Indian Dishes,2.78,453.3,114.99,1.7,1.75,15.62
Spicy chutney sandwich,,,249.58,8.74,9.58,,3.73,34.03,Indian Dishes,3.96,315.4,154.53,1.51,0.21,23.71
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),,,285.78,12.58,16.77,,1.53,22.62,Indian Dishes,1.77,287.39,78.45,1.12,0.0,12.99
Rolled sandwich,,,293.07,6.45,15.29,,2.07,34.69,Indian Dishes,2.7,321.57,117.68,1.23,0.91,5.61
Ribbon sandwich,,,239.26,6.26,13.37,,2.92,24.76,Indian Dishes,4.66,382.11,157.85,1.05,4.55,10.44
Checker board sandwich,,,348.37,7.37,24.65,,2.22,25.94,Indian Dishes,2.9,358.25,188.02,1.11,0.05,8.52
Submarine sandwich,,,216.92,6.09,15.32,,1.24,13.6,Indian Dishes,2.5,254.28,72.35,1.23,21.43,36.34
Cheese open sandwich,,,274.07,9.84,14.24,,1.74,28.42,Indian Dishes,3.24,504.41,256.25,1.22,0.6,12.93
Sunset and sunrise open sandwich,,,241.31,8.58,15.14,,1.39,18.89,Indian Dishes,1.95,381.29,114.07,1.28,3.86,26.36
